"","Unnamed..0","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"54",2126,1985,6025,53.4898210293313,39.0784235862115,78.0331398002327,228,0.552631578947368,0.289473684210526,0.12280701754386,0.0350877192982456,0,0,192,115,46,0,0,1,0,0,0,33.040816,115.355395,46.1877719664428,28.3605553342715,75.8707721863693
"55",2127,1985,6021,49.8357965914321,30.3340280397124,80.4988554672777,176,0.619318181818182,0.261363636363636,0.107954545454545,0.0113636363636364,0,0,161,108,46,0,0,1,0,0,0,39.602546,122.4017,46.1877719664428,28.3605553342715,75.8707721863693
"56",2128,1985,17089,48.9846243237479,29.0561786049832,79.82735354033,358,0.849162011173184,0.122905027932961,0.0279329608938547,0,0,0,143,60,32,0,0,0.776536312849162,0.223463687150838,0,0,41.939594,88.42804,46.1877719664428,28.3605553342715,75.8707721863693
"57",2129,1985,38105,62.0584460629183,54.7878514394475,73.8108519590945,350,0.957142857142857,0.04,0.00285714285714286,0,0,0,110,36,13,0,0,0,0.76,0,0.24,48.345867,103.4874,46.1877719664428,28.3605553342715,75.8707721863693
"58",2130,1985,9011,45.8827445045229,25.4492283419996,75.755678909523,363,0.639118457300275,0.220385674931129,0.0743801652892562,0.0413223140495868,0.0247933884297521,0,245,115,44,0,0,0.490358126721763,0.509641873278237,0,0,41.47863,72.103452,46.1877719664428,28.3605553342715,75.8707721863693
"59",2131,1985,4019,50.3338260622701,33.5097508471433,78.0624033306373,365,0.145205479452055,0.602739726027397,0.205479452054795,0.0465753424657534,0,0,200,136,74,0.347945205479452,0.0602739726027397,0.397260273972603,0.13972602739726,0,0.0547945205479452,32.128237,111.783018,46.1877719664428,28.3605553342715,75.8707721863693
"60",2132,1985,12001,63.3515588512656,55.8898663566701,76.0500987364358,195,0.98974358974359,0.00512820512820513,0.00512820512820513,0,0,0,107,0,0,0,0,0,1,0,0,29.67574,82.357221,46.1877719664428,28.3605553342715,75.8707721863693
"61",2133,1985,30019,62.6824388751227,56.2480448693568,73.1880615496803,175,0.948571428571429,0.0457142857142857,0.00571428571428571,0,0,0,124,39,6,0,0,0,1,0,0,48.794429,105.541739,46.1877719664428,28.3605553342715,75.8707721863693
"62",2134,1985,34023,61.0898267451653,52.9974987083294,74.2745929786151,361,0.556786703601108,0.290858725761773,0.07202216066482,0.0554016620498615,0.0249307479224377,0,248,133,48,0.207756232686981,0,0.498614958448753,0.293628808864266,0,0,40.439593,74.407585,46.1877719664428,28.3605553342715,75.8707721863693
"63",2135,1985,29165,55.6004100660724,39.6188134680727,83.6631998931138,365,0.778082191780822,0.178082191780822,0.0383561643835617,0.00547945205479452,0,0,169,71,37,0,0.202739726027397,0.70958904109589,0.0876712328767123,0,0,39.378696,94.761472,46.1877719664428,28.3605553342715,75.8707721863693
